name,rating,number_of_photos,message,rating_num,label
Carlos Correa,,,4 anos atrás Pessoal mal treinado e grosseiro em especial uma funcionária . Sugiro melhorar treinamento da equipe sobre atendimento /,,neutral
Maria Paula,,66,"8 anos atrás Um clássico da cidade com seus salgados, doces, chocolates e sorvetes deliciosos e de ótima qualidade /",,neutral
Monica Cipriano,,523,"6 anos atrás Melhor café, melhor coxinha, um doce mais gostoso que outro, ideal pra encontro com amigos. 2 /",,neutral
Carlos Valsani,,16,5 anos atrás Top.... padrão Ofner de ser ... produtos excelentes e atendimento impecável. /,,neutral
leonardo varella,,31,"Editado 3 anos atrás Os preços são extremamente altos, porém pela qualidade dos produtos e do atendimento, vale o preço.",,neutral
Heloisa Toniolo,,,·1 foto 6 anos atrás Bons doces e salgados mas o atendimento na loja da rua Caiubi em Perdizes é horrível. /,,neutral
Maria Rita Felippe Oliveira,,48,"4 anos atrás Ótima confeitaria tudo de qualidade, atendimento muito bom também",,neutral
Elizabeth Regina Tadeu Peta Correa,,2,4 anos atrás Excelente!Sou cliente há anos; só é muito caro. /,,neutral
Deise Schwartz,,1499,"7 anos atrás Uma maravilha, o atendimento às vezes demora por excesso de clientes todos os dias e praticamente todos horários. /",,neutral
Anita Kons da Silveira,,52,5 anos atrás Sempre há um doce maravilhoso para te deixar feliz. Aproveite! Não haverá arrependimento! 1,,neutral
Rafael Gonzalez,,88,Editado um ano atrás Local está fechado para reforma. Ficará fechado por aproximadamente 2 meses. 1 /,,neutral
Wladimir Donatto,,1305,6 anos atrás Lugar legal para tô.ar um bom café e ficar sentado nas mesinhas observando a rua..... /,,neutral
Angela Cardoso,,106,"2 anos atrás O ambiente é bom , o atendimento também é os preços são mepiores também / Roberto Dignola Local Guide·1.057 avaliações·2123 fotos Editado 8 anos atrás Tradição e qualidade! Deliciosos doces e o atendimento é muito bom. /",,neutral
Celia Beghine Barrionuevo,,17,7 anos atrás Maravilhoso um show. de bom doces mto bom lugar aconchegante gostei mto quero voltar . /,,neutral
Tabata Oliveira,,51,4 anos atrás Todas as sobremesas maravilhosas! Destaque para o sorvete de Pistache e o de chocate Belga.,,neutral
RedBullBragaConservador,,,"4 anos atrás Atendimento, lugar e doces espetaculares Parece que se está em outro país.",,neutral
Juliana Boscardin,,535,"9 anos atrás Lugar com poucas mesas, mas melhores salgados e doces. Não é barato! /",,neutral
Guilherme Conte,,,"7 anos atrás Doce top e pra ricos. Fique de olho na sua conta, eles imbutem coisas a mais que vc não consumiu 1 /",,neutral
Lina Rufino,,,7 anos atrás Lugar é bom . Atendimento tb muito bom . Mas o brigadeiro é horrivel e caro. /,,neutral
Monika Frentzel Hacker,,103,6 anos atrás Adoramos as empadas e os doces. Preço um pouco elevado mas com qualidade. /,,neutral
Wander Rovere,,136,7 anos atrás Preço caro porém ótimo atendimento e produtos de alta qualidade. Recomendo! /,,neutral
Larissa Furlan,,,"3 anos atrás Péssimo atendimento, esquecem os pedidos, demora ao atender a mesa..... não recomendo. /",,neutral
Renata Camargo,,1453,8 anos atrás Salgados e doces de qualidade. Ambiente calmo e propício também para um café. /,,neutral
Manoel Santos Corretor de Imóveis,,33,"5 anos atrás Muito bom, Belo ambiente tem boas opçoes de cafés",,neutral
Isidro Nunes,,127,"4 anos atrás Produtos ótimos, mas precisa melhorar o fluxo da loja, principalmente o caixa",,neutral
MARINA BOEMER FABBRI,,,"7 anos atrás Maravilhoso , como sempre . Não tem um Mil Folhas melhor que este . Adooooooro . Parabéns a Ofner . Qualidade mil. /",,neutral
Luiz Fernando Sallum,,,2 anos atrás Lugar muito gostoso e agradável. Capuccino sensacional /,,neutral
Carlos Bezerra,,288,4 anos atrás Muito bom /,,neutral
Maurício Tokuno,,180,"8 anos atrás Tudo gostoso, mas acho caro pelo tamanho / qualidade. /",,neutral
Marcio Chicca,,2,Editado um ano atrás Produtos e atendimento excelentes! Porém fechou! /,,neutral
Ailton Marques,,595,8 anos atrás Muito bom! Qualidade Ofner. Pena que está sempre cheio : / /,,neutral
Suzana Lara,,27,"4 anos atrás O café estava excelente, mas demorou para ser servido. /",,neutral
Fernanda Avila,,5,"5 anos atrás Tome um café e fique relax! E, vc ainda, pode ter a sorte de ser atendida pela Francisca! /",,neutral
Dirley Lobo,,,"3 anos atrás Maravilhoso atendimento! Gostei luito das opções Diet, parabéns /",,neutral
Juli Hayne,,89,"5 anos atrás Doces maravilhosos e o ambiente é bem gostoso também. Porém, bem caro.",,neutral
Walmir Dias,,176,"4 anos atrás Essa Ofner deixou a desejar, mas adoro muito a Ofner, produtos de altíssima qualidade sempre.",,neutral
Leonardo Trevas,,42,7 anos atrás Peça a empada de frango e o café. Lugar agradável e ambiente ótimo para um date. É caro. /,,neutral
Silvia Campos,,,"5 anos atrás Ótima, atendimento muito bom. Limpo. Mesas para fora para café.",,neutral
Marco Vac Jr Vac,,,um ano atrás Tudo é sempre muito demorado O atendimento é pessimo /,,neutral
Taise Andrade,,,"·1 foto um ano atrás Lugar aconchegante, tranquilo e ótimas opções funcionários educados e prestativos /",,neutral
Silvia Gomes,,,"5 anos atrás Adoro tudo da Ofner!! Doces, salgados e bebidas!! Vale a pena conferir. /",,neutral
M. G.,,11095,"6 anos atrás Atendimento ok, produtos de ótima qualidade dentro do padrão esperado. /",,neutral
Patty Oliveira,,24,5 anos atrás Frequento a Ofner deste pequena e nunca mudou a qualidade! Um sucesso sempre,,neutral
Eduardo Macaroni,,22,5 anos atrás Recomendo muito o doce Mil Folhas. Massa fresca e feita em casa.,,neutral
ricardo avila,,6,5 anos atrás Perdeu a tradição mas continua com boas opções de doces apesar de caros /,,neutral
Cláudio Braccialli,,337,5 anos atrás Excelente local para um primo café e um bate papo descontraído!,,neutral
Nasia Petridis,,,7 anos atrás Muito bem atendida. Pão de queijo integral é uma delícia.... /,,neutral
Bia Nscmnt,,35,8 anos atrás Adoro os produtos da Ofner. Único problema não tem estacionamento é difícil parar /,,neutral
Pablo Ribeiro,,,·1 foto 5 anos atrás Atendimento incrível! Adorei a gentileza e espontaneidade dos atendentes com quem tive contato!,,neutral
Pe Lédio Milanez rcj (Wera Popygwa),,8548,"9 anos atrás atendimento bom, mas faltam mesas pois o lugar é pequeno. /",,neutral
Olga Moscovici,,136,"Editado 5 anos atrás Maravilhoso. Mesas fora, além de.tomar um cafezinho, tem a oportunidade de tomar sol tambem",,neutral
J. Garcia,,4560,4 anos atrás Atendimento impecável da Alessandra. O que dizer dos produtos Ofner. Sempre Deliciosos. /,,neutral
Sandra Payeras,,3,6 anos atrás Cafeteria sensacional! Um capuccino saboroso e o melhor quiche de manjericão com cottage /,,neutral
Sidney Ushisima,,10,"7 anos atrás Ótimos chocolates, bolos e salgados. O que falta é um atendimento mais cortês. /",,neutral
enzo storti,,5,"4 anos atrás Ótimo atendimento, local aconchegante e Comida de qualidade! /",,neutral
Edison Cordeiro,,,"·1 foto 6 anos atrás Ótimo atendimento , muitas opções e chocolates irresistíveis. /",,neutral
Ramis Aiub Júnior,,18,4 anos atrás Excelente local no Bairro das Perdizes . Mas os preços estão fora da realidade. /,,neutral
Thauan Chaves,,102,"4 anos atrás Agradável e sofisticado, ótimo para bater um papo com um café.",,neutral
Ricardo Coelho,,,"·1 foto 7 anos atrás Agradavel, bom serviço, doces e salgados saborosos, bom café. /",,neutral
Denis Prado,,58,"4 anos atrás No horário q fomos, lotada. Mesas afastadas, mas estava cheio. /",,neutral
Marcos Cintra,,27,"8 anos atrás A loja mais acolhedora da rede, acredito que seja a menina dos olhos da Ofner. Sem detalhes, tudo cem por cento. /",,neutral
Gabriel Filho,,4,"5 anos atrás Caro, atendimento fraco e qualidade não é a mesma de antigamente.",,neutral
Jorge Claudio Ribeiro,,990,"4 anos atrás Bom atendimento, muitas delícias doces e salgadas",,neutral
Luciana Mammana,,,·1 foto 5 anos atrás È um ponto tradicional no bairro . Està sempre cheio e è muito agradavel !,,neutral
walter caiaffa hehl,,,"7 anos atrás ... estão exagerando no açúcar, porém o local é agradável e o atendimento corretíssimo... /",,neutral
SERJOTA,,,7 anos atrás Comida realmente boa. Valeu a pena as 2 horas de espera /,,neutral
Átila Boueri,,7530,5 anos atrás Chocolates de doces muito bons mas a Coxinha de frango uma delicia,,neutral
João M. Lopes,,,"7 anos atrás Bom atendimento, mas muitos pombos na parte exterior da loja. /",,neutral
Lenilda Miranda Da Silva,,,"8 anos atrás Apesar dos preços serem alto, eu gostei muito da loja e do atendimento /",,neutral
Tania Aquino,,26,5 anos atrás Mto delicia. Café com gostosuras. Vale uma visita.,,neutral
Jose Manuel Brey Campos,,9,Editado 5 anos atrás Atendimento cordial. Produtos bons e um pouco caros. /,,neutral
beatriz guimaraes,,65,6 anos atrás Quase sempre muito cheio. O atendimento não da muito conta. De resto padrão /,,neutral
Guilherme Bonatto,,1590,Editado 5 anos atrás Doceria tradicional do bairro. Excelente qualidade. Super recomendado. /,,neutral
Jussara Kommers,,,7 anos atrás Atendimento excelente e tudo muito delicioso. /,,neutral
Zighi Naftal,,,4 anos atrás Doces continuam excelente com um servico muito fraco pelo preco cobrado,,neutral
Jonathan Joo Young Lee,,10,"7 anos atrás Frequento para tomar café, mas é caro pelo que oferece. /",,neutral
Charles M Susskind,,14,10 anos atrás Sorvetes muito ruim. Não vale comer. Melhor um palito da kibon /,,neutral
Erick Itakura,,,8 anos atrás Excelente opção para sobremesas. Boa variedade de doces /,,neutral
Luiz Eduardo Inoue,,,7 anos atrás Ótimo lugar para uma conversa vom um café e doce ou salgado. /,,neutral
Maria Silvia Louzada,,,"2 anos atrás Boas opções de doces, bolos, chocolates. /",,neutral
Eduardo Carvalho,,30,"5 anos atrás Torta mil folhas 15,50 é muito fora da realidade brasileira. /",,neutral
Tiago P.,,,"9 anos atrás Bom local para café da tarde ou matar sua vontade noturna de comer um ""docinho"" /",,neutral
Pedro Fernandes,,29,"5 anos atrás Atendimento, loja, produtos, tudo muito bem cuidado e atenção ao cliente.",,neutral
Fernando Salgado Jr.,,4,5 anos atrás Amo o risole da palmito. Aqui tudo é muito bem feito.,,neutral
Sidnei Buso,,,5 anos atrás Sempre bom saborear seus doces e um bom café. 1,,neutral
Sergio Goh,,13,4 anos atrás Excelente local para tomar um cafezinho e sorvete.,,neutral
Edouard Dubois,,116,"7 anos atrás Doces maravilhosos, atendimento agradável mas o preço é salgado /",,neutral
Eduardo Toledo,,4,4 anos atrás Um pouco cheio demais nesses tempos de pandemia. Espera por mesas... /,,neutral
Ivan Carrara Fonseca,,3,"4 anos atrás Pelo preço que cobram das coisas, o atendimento é muito ruim. /",,neutral
Wilson Klain,,,"·1 foto 7 anos atrás Atendimento excelente e doces deliciosos. / Jorge Kupfer Local Guide·1.060 avaliações·1486 fotos Editado 3 anos atrás Excelente coxinha, doces apetitosos Precos caros 2 /",,neutral
Tony Schnitzlein,,,5 anos atrás Minha família é cliente da Ofner desde minha infância e a qualidade segue igual,,neutral
Haroldo Maciel,,36,"7 anos atrás Café bom, doces bons, atendimento excelente. /",,neutral
Mikas MLMProduções,,55,5 anos atrás A foto fala por si!!!! /,,neutral
carlos eduardo vernalha coli,,56,"8 anos atrás pra quem quer comer um docinho e tomar um bom café rápido, este é o lugar /",,neutral
Marcos Magri,,9,7 anos atrás Café Expresso bom...doce de leite ninho com nutella ressecado /,,neutral
Paulo Preto,,294,5 anos atrás Sempre muito bom uma pausa para um café por lá.,,neutral
Solange,,15,7 anos atrás Ambiente muito agradável limpeza impecável tudo gostoso 1 /,,neutral
M. Teresa LB,,,"7 anos atrás O atendimento tem que melhorar. São educados, porém desorganizados. /",,neutral
filipe batista,,8,8 anos atrás Ótimo lugar para tomar um café e encontra com os amigos. /,,neutral
Eduardo Bandeira,,,"7 anos atrás Muito bom, local agradável, bom atendimento. Um pouco caro /",,neutral
Andreia Caritá Serra,,3,6 anos atrás Dispensa comentários. O pão de queijo multigrãos é o melhor! /,,neutral
Cristiane Rosa,,2,5 anos atrás Tudo muito gostoso e uma ambiente charmoso.,,neutral
Luci Santos,,,"4 anos atrás Faltou uma simpatia no atendimento, mas abcomida é de qualidade /",,neutral
Voislav Bielovic,,6,5 anos atrás Frequento fazem muitos anos. Sempre deliciosa.,,neutral
Carlos Vieira,,,"Editado 8 anos atrás Os doces são bons, mas os preços são salgados... /",,neutral
Eliana Costa,,,5 anos atrás Sempre um atendimento e qualidade excelentes. Nota 11 /,,neutral
Sandra Stardust,,4,5 anos atrás Ambiente agradável com ótimas opções de lanches.,,neutral
Maria Aparecida Sabbag,,,"4 anos atrás Amo tudo,desde o café até os doces",,neutral
Silvio Chan,,261,"5 anos atrás Doces muito bons, acompanhado daquele cafezinho. /",,neutral
Vagner Marcos Agustinho,,91,5 anos atrás Café e brigadeiro de cacau delicioso. Meninas super atenciosa.,,neutral
RENATO TABAJUIHANSKY,,13,"7 anos atrás Espetáculo de sorvete de pistache, bomba de creme idem. Atendimento atencioso /",,neutral
Antonio Souza,,25,7 anos atrás Tradição em Sampa ... destaque para a tortinha de morangos /,,neutral
Rebeca Wald,,36,6 anos atrás Tudo de bom. Experimente o capuccino italiano. É delicioso! /,,neutral
maria jose naruse,,24,7 anos atrás Boa opção pra comer um docinho ou tomar um cafezinho /,,neutral
Jose Augusto Sundfeld,,1172,8 anos atrás Boa loja. Variedade de produtos. E bom atendimento. /,,neutral
Gabriel Ferraz,,83,"6 anos atrás Uma ótima doceria, salgados e um bom cafezinho /",,neutral
Pedro Ricardo de Souza Carvalho,,3057,8 anos atrás Local agradável para um café ou lanche. 1 /,,neutral
Meedup Carol,,104,"8 anos atrás Bom café de rua, com várias mesinhas em lugar agradável 1 /",,neutral
Renato Bernardo,,,7 anos atrás Excelente localização. Boa variedade. Preço alto /,,neutral
Dalmo Oliveira,,82,7 anos atrás Lugar gostoso para ir à dois e com amigos com preços razoáveis . /,,neutral
Lucia Andrade,,9,"4 anos atrás Lugar agradável, para comer um docinho e tomar um café.",,neutral
Berta Zylberstajn,,13,7 anos atrás Ótima qualidade e atendimento. MAS...um problema para estacionar!!! /,,neutral
Tiago Magnani,,924,7 anos atrás O café é excelente e os doces de alta qualidade /,,neutral
Rodrigo Ferreira,,,7 anos atrás Lugar muito agradavel com comidas e doces excepcionais! /,,neutral
Silvia de Oliveira,,3,4 anos atrás O atendimento sempre moroso. Excessivo. Deve melhorar! /,,neutral
Fábio Tessarolo,,307,8 anos atrás Poucas mesas para sentar........mas a qualidade compensa!!! /,,neutral
Leonardo Amaral,,19,7 anos atrás Café e doces excelentes e um ótimo atendimento. /,,neutral
Luciano Natividade,,68,8 anos atrás Ótimo café e gulosemas em geral. Ótimo atendimento. /,,neutral
Edson José dos Santos,,,"·1 foto 5 anos atrás Atendimento muito bom e rápido. Tudo certo, recomendo.",,neutral
jade Almeida Prometti,,37,5 anos atrás Maravilha. Não existe salgados melhores!,,neutral
M.B.,,19,7 anos atrás Bom café e bons doces e salgados. /,,neutral
Joao Junior,,48,2 anos atrás Quase nunca fui bem atendido. 2 /,,neutral
mesquita ew,,,"8 anos atrás Sempre delicia! Caro, mas bom! /",,neutral
Roberto Sekiya,,5732,"Editado um ano atrás Chocolate deliciosos, Capuchinho fantástico 1 /",,neutral
Regina Rezende Rebello,,19,7 anos atrás Tomar um café com Petit four não tem melhor... 1 /,,neutral
Alexandre Dos Anjos,,7,7 anos atrás Empada maravilhosa...mas poderia ter preço mais acessível /,,neutral
Hellen Turquetti,,,"4 anos atrás Doce cada vez menor, preço cada vez maior. Qualidade de sempre. /",,neutral
Valeria Peral Rengel,,4,Editado 3 anos atrás Tudo é feito da melhor qualidade e com capricho. Delicioso!!! Tudo!!!,,neutral
Rodrigo Gouvea,,,"5 anos atrás Vou lá a uns 30 anos, e nunca me decepcionei",,neutral
Bia Camargo,,9,"5 anos atrás Empada,bolo,suco,café e sorvete excelente s",,neutral
Haydée Diva Traldi Meneses,,46,4 anos atrás Não há espaço suficiente para acomodar os clientes.,,neutral
Edu Cordeiro,,1983,"4 anos atrás Serviço demorado, atendentes batendo cabeça com o sistema de venda! 1",,neutral
Renata Guimarães,,,·1 foto 8 anos atrás Excelente lugar para um café no final da tarde! /,,neutral
Paula Ruscio,,2321,8 anos atrás Ótimo local para café e doces! /,,neutral
Cassiano Rossi,,,7 anos atrás Os funcionários antigos fazem o ponto excelente !! Clima familiar . /,,neutral
Alessandro Augusto Pereira,,28,"3 anos atrás Panetones deliciosos, mas café comum. /",,neutral
tadeu.fsouza@gmail.com Souza,,956,6 anos atrás Bom mas caro demais para o que oferece. /,,neutral
KEY Cleiton,,3,5 anos atrás Uma das poucas que mantem o bom atendimento... Parabens a equipe!!!,,neutral
Wilson Kronemberger,,,"Editado 4 anos atrás As meninas são muito educadas, ótimo atendimento",,neutral
Danilo Dall'Acqua Neto,,,"Editado um ano atrás Um pouquinho caro, mas é excelente! /",,neutral
Celimara Sarabia,,112,5 anos atrás Bom lugar para tomar um café no final da noite.,,neutral
Giovanni L.,,,"·1 foto 5 anos atrás Tem o seu público alvo...Ótimo, mas caro. Voltaria? Provavelmente",,neutral
Douglas Cunha,,4,6 anos atrás Ambiente agradável com aquele cafezinho maravilhoso /,,neutral
Jader Scalzaretto,,,6 anos atrás Gosto de ler na Ofner. Me sinto muito bem ali. /,,neutral
Roberto Jr.,,621,"Editado 3 anos atrás Recomendo o mil folhas, a coxinha e o croissant! /",,neutral
Monica Aquino,,,"5 anos atrás Amo o café, é bem quentinho e bem forte!",,neutral
Cesar Mariano,,220,"7 anos atrás Produtos muito bons, com o preço de sempre. /",,neutral
Amaury guerra,,,4 anos atrás Sempre muito agradável e saboroso. /,,neutral
Priscila Fialho,,34,3 anos atrás Mto gostoso e o atendimento foi maravilhoso /,,neutral
Deise Moro,,,·1 foto 4 anos atrás Ótimos doces e deliciosos salgados! /,,neutral
Marcelo Bambini,,16,5 anos atrás Frequento a mais de 30 anos.... sempre bom,,neutral
Cristine Lulia,,2,5 anos atrás Atendimento incrível! Tudo delicioso!,,neutral
Susana Nobrega,,,8 anos atrás Coxinhas deliciosas !! Bombas maravilhosas !! Tudo de bom!! /,,neutral
Marta Rocha,,7,"8 anos atrás Adoro o café...sem contar a ""bomba de chocolate"" /",,neutral
Lima Limão,,13,3 anos atrás Bom né kk /,,neutral
Wilson Kronemberger,,,"·1 foto 8 anos atrás Bolinho de bacalhau maravilhoso, garçonete muito atenciosa /",,neutral
Almir Carlos,,102,5 anos atrás Muito linda a casa bem localizada preços,,neutral
Marta Leia,,,5 anos atrás não gostei. Não tem.lugar para sentar,,neutral
Jair F. A. Pinheiro,,66,5 anos atrás Atendimento cordial e os bons produtos de sempre.,,neutral
Marta Mello Barreto Naufel,,,"·1 foto 5 anos atrás Está caríssima!!!Uma coxinha 14 reais,um absurdo!! /",,neutral
Luiz Carlos Rodrigues,,76,"Editado 7 anos atrás Bom lugar, tradicional e sofisticado. 1 /",,neutral
Mario Madureira Fontes,,2717,"7 anos atrás Preço médios e altos, mas a qualidade é boa. /",,neutral
Gustavo Coelho,,131,"8 anos atrás Produtos caros, porém de boa qualidade! /",,neutral
Rosely Barreiro,,,6 anos atrás Show!!!... adoro essa loja!!!... tudo é muuuito bom!!!... parabéns!!!! /,,neutral
Leandro Gomes,,29,4 anos atrás Motoristas de aplicativo são tratados com indiferença. /,,neutral
Camilo Crispim Medeiros,,,4 anos atrás Muito bom doces maravilhosos. /,,neutral
Julio Escandar,,,8 anos atrás Otimo cafe e bons salgados. /,,neutral
Diva Lima,,,·1 foto 7 anos atrás Perdição total. Todos os caminhos para sair da dieta. KKKKKKK /,,neutral
Luiz Carlos Calio Junior,,,"·1 foto 6 anos atrás Sempre bom, bom atendimento, bom café, bons salgados, /",,neutral
Alexandre Miguel,,16,"4 anos atrás Tem vida mais barata ,mas não presta!!!",,neutral
André Kowal,,5325,8 anos atrás Boa doceria e café com ambiente externo. /,,neutral
viviane paz,,3,7 anos atrás Um pouco caro pela quantidade de sorvete /,,neutral
Alexandre Spregacini,,,4 anos atrás Doces deliciosos. Bom atendimento,,neutral
Ana ligia Santos,,,·1 foto 3 anos atrás Tudo muito bom lá e o atendimento é excelente 1 /,,neutral
Juliette Seeder,,18,"6 anos atrás Ótimos doces, confeitaria de elite /",,neutral
Alexandre Caminha,,15,7 anos atrás Sempre uma boa opção para uma parada e café de negócios. /,,neutral
Manuel Lucas Pires,,,6 anos atrás Não deixem de experimentar a tortinha de morango /,,neutral
Edvaldo Aparecido,,249,4 anos atrás Ótima loja tudo de.primeira.e.atendimento rápido /,,neutral
Ferdinando Arcieri Júnior,,,7 anos atrás Uma delícia doces muito bom /,,neutral
Maria Oliveira,,,6 anos atrás Ótimos produtos atendimento perfeito ótimo ambiente /,,neutral
Camila Christi Gazzani,,,7 anos atrás Tudo bom! Ótimo ambiente. /,,neutral
Diane Golubcic Ferri,,576,8 anos atrás strudel delicioso! tudo muito gostoso /,,neutral
Marcelo Hideki,,622,9 anos atrás Para um café delicioso e um sorvete magnífico! /,,neutral
Christina Nazarian,,12,4 anos atrás Para mim é a melhor coxinha que existe. /,,neutral
Sonia Carvalho,,,"4 anos atrás Qualidade, serviço. Funcionários muito educados",,neutral
Fernando Viana,,,"5 anos atrás Exelente atendimento,principalmente do segurança da loja",,neutral
Geraldo Donizeti Silva,,2,5 anos atrás Uma perdição para os amantes de bons doces e chocolates. /,,neutral
claudio vasen,,13,7 anos atrás Atendimento excelente Qualidade insuperável Preço justo /,,neutral
Vinicius Gibrail,,19,"8 anos atrás Ambiente, café e acompanhamentos excelentes! /",,neutral
Irineu Santos,,,4 anos atrás Doces bem feitos atendimento bom,,neutral
Anderson Pereira,,68,8 anos atrás Ótimo pro cafezinho à tarde... /,,neutral
Caru Sucupira,,15,"7 anos atrás Muito caro, sorvete ruim... /",,neutral
Maria Helena Santos Ferreira,,,4 anos atrás Bom atendimento e delicias para comprar,,neutral
Paulo Gomes,,4,6 anos atrás A Ofner como sempre dispensa comentários. Ofner é Ofner e isso é o suficiente. Show /,,neutral
Fernando Cardoso dos Santos,,,7 anos atrás Muito bom lugar confortável e acolhedor /,,neutral
Eliane Dias,,101,5 anos atrás Atendimento nota 1000 o lugar agradável e aconchegante!!!!,,neutral
Denis Furtado,,71,7 anos atrás Muito cara para doces razoáveis /,,neutral
renata rezende,,178,6 anos atrás Tortinha de morango muito gostosa. /,,neutral
Ronnie Araujo,,6,7 anos atrás Doceria fina atendimento impecavel /,,neutral
Antonio Carlos De Sousa (Spyder),,17,"5 anos atrás Tomar um capuccino e chocolate, muito bom. 1",,neutral
Vitor Sigoli,,,"8 anos atrás Ja foi melhor, hoje tem muitas opcoes melhores /",,neutral
Acacio Fernandes,,53,"7 anos atrás Caro, mas tem ótima qualidade. /",,neutral
Yolanda Polack,,35,2 anos atrás Precisam de mais atendentes de salão /,,neutral
Arnaud Alberto,,10,6 anos atrás Sempre aprecio doces e café /,,neutral
Suzy von Simson,,32,3 anos atrás Apfelstrudel com chantilly... Maravilhoso! /,,neutral
Gustavo De Rosa,,2366,"5 anos atrás Opções saborosas em cafés, doces, etc!!",,neutral
Fernando Marzocchi,,607,5 anos atrás Tudo é bom. Mas é caro.,,neutral
Everton Santos,,18,"7 anos atrás Ambiente agradável, cardápio excelente /",,neutral
Aparecida Oliveira,,20,6 anos atrás Desatentos com os pedidos. Sempre faltando algo. /,,neutral
Marcelo Almeida,,11,"7 anos atrás Pizza maravilhosa, lugar aconchegante. /",,neutral
LUCIA HELENA BARRETO,,578,"8 anos atrás Muito gostoso o café , e os doces /",,neutral
Roberto Scrivano,,7,"7 anos atrás Cappuccino delicioso, local muito agradável /",,neutral
Rodrigo Secco,,1028,"6 anos atrás Doces e salgados finos, porém caros /",,neutral
Maya Ben Avram,,14,8 anos atrás Ótimos produtos e lugar muito agradável /,,neutral
Clenilson Assumpção,,2,7 anos atrás loja muito aconchegante atendimento excelente /,,neutral
OSCAR CANDIDO FELIZ GAIATO OSCAR GAIATO,5.0/5,,"um ano atrás Logar agradável, muitobom",5.0,positive
Thiago Prado,,43,"8 anos atrás Doces excelentes, lugar bacana /",,neutral
Claudio Miklos,,694,6 anos atrás Tudo delicioso e tudo a preço de ouro /,,neutral
Laura Dantas,,19,"3 anos atrás Bom atendimento, mas muito caro /",,neutral
Ana Lucia Sim,,9,Editado 2 anos atrás Já teve seu tempo de ouro. 1 /,,neutral
Marcos Souza,,189,4 anos atrás O melhor risolis de palmito que existe /,,neutral
Anamaria Penteado,,,"4 anos atrás Segura, com todos os protocolos. Tudo ótimo. /",,neutral
Tiago Silva,,54,"4 anos atrás Excelente atendimento, funcionários muito educados e cordiais /",,neutral
Mima borges,,125,7 anos atrás Adoro a coxa creme e a milfolhas! /,,neutral
Ramona Cheng,,23,7 anos atrás Qualidade de produtos muito bons mas muito caros /,,neutral
Jurandyr Carvalho,,6,7 anos atrás Bons produtos preços atrativos bom gosto /,,neutral
Silvia Melega,,,6 anos atrás Sempre muito bem atendida. /,,neutral
Jose Lettieri,,17,5 anos atrás Qualidade muito alta. Ofner não é para qualquer um.,,neutral
Armando Ciccone,,108,Editado 7 anos atrás Unidade menor mas muito boa! /,,neutral
Juca Lopes,,151,8 anos atrás A melhor coxinha com catupiri de São Paulo. /,,neutral
JessicaTM,,,6 anos atrás Bom atendimento! Lugar agradável. /,,neutral
Barone Estudio,,,8 anos atrás Padrão Ofner de qualidade! Excelente. /,,neutral
Roberto Tappi,,,4 anos atrás Excelente local para relaxar.,,neutral
Ricardo Rock V8,,13,"7 anos atrás Doces da Oferta dispensa comentários, é 10!!! 1 /",,neutral
Romulo Maior,,37,7 anos atrás Boa pedida para um café!! /,,neutral
Milton Bárbara de Almeida Júnior,,205,"6 anos atrás Doces, bolos, salgados, tudo delicioso! /",,neutral
MARIA LYDIA MANARA DE MELLO,,73,6 anos atrás Bom atendimento e produtos de primeiríssima!! /,,neutral
Marco Antônio,,34,6 anos atrás Doces saborosos com preços adequados /,,neutral
Silvio Casares,,298,6 anos atrás Só tem coisas boas /,,neutral
Fernando Pereira,,5,4 anos atrás Adoce sua vida é salgue o seu bolso /,,neutral
Dilermando Lima (Diler),,,7 anos atrás Doceira muito boa com bom atendimento /,,neutral
Renato Snake,,8,4 anos atrás Ótimo para quem gosta de doces /,,neutral
Marcelo Moretta,,11,6 anos atrás Bom lugar para quem gosta de gastar muito /,,neutral
Horacio Bonoldi,,4,"6 anos atrás Tradicionalmente ofner, muito boa doceira /",,neutral
Pericles Pontes,,184,5 anos atrás A melhor doceria de São Paulo .,,neutral
Ricardo Mitri,,3931,5 anos atrás Caro porém muito bom 1 /,,neutral
Camila Oliveira,,2,"4 anos atrás Lugar maravilhoso, atendimento de excelência",,neutral
Mara Antunes,,6,5 anos atrás Preços bem salgados!!! /,,neutral
Sr Panda,,13,3 anos atrás Eu gosto muito desse lugar... /,,neutral
Fabio Luis Adam Adam,,,8 anos atrás Bolinho de bacalhau brigadeiro e o café. /,,neutral
Jaime Abel,,32,5 anos atrás Atende dentro do padrão confeitaria /,,neutral
Marcos Avó,,20,8 anos atrás Sempre muito bom! /,,neutral
Neide N.kfouri,,,5 anos atrás Tem tudo pra melhorar...(boa) 1 /,,neutral
Vania Contesini,,,8 anos atrás Agradável. Lanches bons. /,,neutral
Rafaela Mazzari,,24,7 anos atrás Ambiente agradável para um café /,,neutral
Lorenzo Berendsen,,4,7 anos atrás Sempre muito bem atendido /,,neutral
Edith Blumen,,,5 anos atrás Coxa creme e comidas excelentes,,neutral
Carolina Ribeiro Paraiso (rparaisoacarolina),,139,"8 anos atrás Café, bolos, doces e guloseimas deliciosas /",,neutral
Emerson Sitta,,25,Editado 3 anos atrás Um local sempre bom!!! /,,neutral
iris soares,,,7 anos atrás Doces magníficos! Lugar aconchegante! /,,neutral
